Questions , first Choice , second Choice , third Choice , forth Choice , answer
Which of the following best describes inheritance? , Focuses on variables and passing of variables to functionsMeans of bundling instance variables and methods in order to restrict access to certain , class members , Ability of a class to derive members of another class as a part of its own definition , Allows for implementation of elegant software that is well designed and easily modified , 3
Which of the following statements is true? , A subclass method can be overridden by the superclass , A non-private method in a superclass can be overridden , Overriding isn’t possible in Python , A private method in a superclass can be overridden , 2
Can one block of except statements handle multiple exception? , yes like except TypeError SyntaxError [] , no , yes like except [TypeError SyntaxError] , yes , 2
What is the pickling? , It is used for object deserialization , It is used for object serialization , All of the mentioned , None of the mentioned , 2
The readlines() method returns ____________ , str , a list of single characters , a list of lines , a list of integers , 3
Which operator is overloaded by the __or__() function? , || , | , // , / , 1
 _____ represents an entity in the real world with its identity and behaviour, A method , An object , A class , An operator , 2
What is getattr() used for? , To access the attribute of the object , To delete an attribute , To check if an attribute exists or not , To set an attribute , 1
Which of the following statements is true? , A non-private method in a superclass can be overridden , A subclass method can be overridden by the superclass , A private method in a superclass can be overridden , Overriding isn’t possible in Python , 1
Which of the following is the most suitable definition for encapsulation? , Ability of a class to derive members of another class as a part of its own definition , Means of bundling instance variables and methods in order to restrict access to certain class members , Focuses on variables and passing of variables to functions ,  Allows for implementation of elegant software that is well designed and easily modified , 2 
Methods of a class that provide access to private members of the class are called as ______ and ______ ,  getters/setters , __repr__/__str__ , user-defined functions/in-built functions , __init__/__del__ , 1
What happens when ‘1’ == 1 is executed? , we get a True , we get a False , an TypeError occurs , a ValueError occurs , 2
Which of the following is not an exception handling keyword in Python? , try , except , accept , finally , 3 
_______________________ exceptions are raised as a result of an error in opening a particular file. , ValueError , TypeError , ImportError , IOError , 4
What does ~4 evaluate to? , -5 , -4 , -3 , +3 , 1
Django is based on which design pattern? , Inversion of control , MVC , Dependency injection , Factory pattern , 2
What should we do first after creating an app? , adding an URLConfs file , make a .enve file for it , insert it to Installed app , change manage.py file , 3 
What is the best description for wsgi.py? , A command line utility that allows you to interact with your Django project , Tells python that the current directory should be considered as a python project , Contains the URL's for the current project , This is an entry-point for the web servers to serve the project you have created , 4
Explain the use of 'migrate'command in Django. , Propagate changes made to the models , Show database in terms of tables , Set configuration for database , parse the models , 1